G1,G2,G3,A1,A2,A3,Target
0.013748169,-0.00062561,-0.023376465,-5.958191,0.6880646,8.135345,stand
0.014816283999999999,-0.001693726,-0.02230835,-5.95224,0.6702118,8.136536,stand
0.0158844,-0.001693726,-0.021240234,-5.9950867,0.6535491999999999,8.204376,stand
0.016952515,-0.003829956,-0.02017212,-5.9427185,0.6761626999999999,8.128204,stand
0.0158844,-0.007034302,-0.02017212,-5.991516,0.64164734,8.135345,stand
0.014816283999999999,-0.009170532,-0.02230835,-5.965332,0.6297455,8.128204,stand
0.011611939,-0.013442993,-0.02230835,-5.991516,0.6356963999999999,8.16272,stand
0.011611939,-0.014511108,-0.021240234,-5.915344,0.63093567,8.105591,stand
0.009475708,-0.016647339,-0.02230835,-5.984375,0.6940155,8.067505,stand
0.010543823,-0.016647339,-0.021240234,-5.937958,0.71543884,8.090117999999999,stand
0.008407593,-0.015579224,-0.023376465,-5.902252,0.6678314000000001,8.069885000000001,stand
0.006271362,-0.015579224,-0.023376465,-5.9498596,0.68092346,8.119873,stand
0.005203247,-0.013442993,-0.019104004,-5.9796143,0.7416229,8.0841675,stand
0.004135132,-0.015579224,-0.021240234,-5.9617615,0.71424866,8.155579,stand
0.005203247,-0.012374878,-0.02017212,-5.95343,0.7130585,8.153198,stand
0.004135132,-0.012374878,-0.019104004,-5.8665466,0.7344818000000001,8.10083,stand
0.005203247,-0.009170532,-0.018035889,-5.901062,0.7582855,8.081787,stand
0.006271362,-0.008102417,-0.016967773,-5.8713074,0.7190094,8.192474,stand
0.008407593,-0.007034302,-0.012695313,-5.932007,0.67259216,8.185333,stand
0.007339478,-0.005966187,-0.012695313,-5.895111,0.6797333000000001,8.132964999999999,stand
0.009475708,-0.009170532,-0.010559082,-5.8927307,0.68211365,8.155579,stand
0.009475708,-0.010238647,-0.011627197,-5.848694,0.6511688,8.144867,stand
0.006271362,-0.013442993,-0.009490967,-5.9236755,0.6868744000000001,8.034180000000001,stand
0.005203247,-0.016647339,-0.011627197,-5.902252,0.64878845,8.150818,stand
0.003067017,-0.017715454,-0.011627197,-5.927246,0.671402,8.03537,stand
0.001998901,-0.016647339,-0.014831543,-5.9284363,0.6464081,8.134155,stand
0.001998901,-0.01878357,-0.012695313,-5.9760437,0.6963959,8.093689,stand
0.000930786,-0.015579224,-0.014831543,-5.9498596,0.671402,8.135345,stand
0.001998901,-0.015579224,-0.015899658,-5.95224,0.6678314000000001,8.159149000000001,stand
0.003067017,-0.013442993,-0.015899658,-5.940338,0.6142731,8.093689,stand
0.004135132,-0.008102417,-0.015899658,-5.934387,0.64164734,8.182953,stand
0.006271362,-0.007034302,-0.014831543,-5.9355774,0.67497253,8.136536,stand
0.007339478,-0.004898071,-0.011627197,-5.9224854,0.63331604,8.129395,stand
0.010543823,-0.005966187,-0.012695313,-5.939148,0.5880890000000001,8.216277999999999,stand
0.008407593,-0.007034302,-0.010559082,-5.8915405,0.6464081,8.168671,stand
0.008407593,-0.007034302,-0.007354736,-5.901062,0.68092346,8.119873,stand
0.008407593,-0.008102417,-0.008422852,-5.901062,0.6690216,8.177002,stand
0.010543823,-0.008102417,-0.004150391,-5.939148,0.7201996,8.144867,stand
